104: constrained_branching='0', dom_opt='0', f_clique_lb='26362', f_deg2='18293', f_deg2_heur='5186', f_deg3='890', f_dom='6431', f_lp='15685', f_lp_lb='6490', limit_kern_branch='33332', limit_kern_start='34688'
105: constrained_branching='1', dom_opt='0', f_clique_lb='39742', f_deg2='16954', f_deg2_heur='931', f_deg3='6557', f_dom='16072', f_lp='19982', f_lp_lb='30988', limit_kern_branch='18396', limit_kern_start='36650'
106: constrained_branching='0', dom_opt='0', f_clique_lb='22425', f_deg2='36784', f_deg2_heur='34348', f_deg3='35259', f_dom='28619', f_lp='17234', f_lp_lb='7849', limit_kern_branch='1938', limit_kern_start='9128'
107: constrained_branching='1', dom_opt='1', f_clique_lb='382', f_deg2='2417', f_deg2_heur='14390', f_deg3='19972', f_dom='6437', f_lp='10117', f_lp_lb='8119', limit_kern_branch='5909', limit_kern_start='12777'
108: constrained_branching='1', dom_opt='0', f_clique_lb='27458', f_deg2='26250', f_deg2_heur='27084', f_deg3='10237', f_dom='25408', f_lp='6911', f_lp_lb='39973', limit_kern_branch='9803', limit_kern_start='14022'
109: constrained_branching='1', dom_opt='0', f_clique_lb='10005', f_deg2='1715', f_deg2_heur='31401', f_deg3='4591', f_dom='34005', f_lp='22905', f_lp_lb='15535', limit_kern_branch='7322', limit_kern_start='24821'
110: constrained_branching='1', dom_opt='0', f_clique_lb='32993', f_deg2='31911', f_deg2_heur='14738', f_deg3='10828', f_dom='23073', f_lp='30174', f_lp_lb='15635', limit_kern_branch='35347', limit_kern_start='15814'
111: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='2768', f_deg2_heur='17899', f_deg3='15499', f_dom='9522', f_lp='10117', f_lp_lb='3659', limit_kern_branch='5909', limit_kern_start='17344'
112: constrained_branching='0', dom_opt='0', f_clique_lb='4267', f_deg2='31579', f_deg2_heur='35081', f_deg3='12429', f_dom='22541', f_lp='37473', f_lp_lb='30988', limit_kern_branch='11335', limit_kern_start='39517'
113: constrained_branching='0', dom_opt='0', f_clique_lb='3354', f_deg2='2768', f_deg2_heur='17192', f_deg3='19552', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='27029'
114: constrained_branching='1', dom_opt='0', f_clique_lb='32828', f_deg2='6356', f_deg2_heur='38941', f_deg3='30004', f_dom='9772', f_lp='32419', f_lp_lb='1143', limit_kern_branch='19983', limit_kern_start='18754'
115: constrained_branching='0', dom_opt='1', f_clique_lb='382', f_deg2='16920', f_deg2_heur='4111', f_deg3='12313', f_dom='19696', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='12777'
116: constrained_branching='0', dom_opt='1', f_clique_lb='35675', f_deg2='3155', f_deg2_heur='35987', f_deg3='30810', f_dom='13231', f_lp='32428', f_lp_lb='21812', limit_kern_branch='32526', limit_kern_start='8179'
117: constrained_branching='0', dom_opt='1', f_clique_lb='382', f_deg2='35396', f_deg2_heur='4111', f_deg3='12313', f_dom='31889', f_lp='15079', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='12777'
118: constrained_branching='1', dom_opt='0', f_clique_lb='1810', f_deg2='16661', f_deg2_heur='3933', f_deg3='20022', f_dom='17097', f_lp='9832', f_lp_lb='32233', limit_kern_branch='12229', limit_kern_start='29274'
119: constrained_branching='1', dom_opt='1', f_clique_lb='25570', f_deg2='28310', f_deg2_heur='3467', f_deg3='12960', f_dom='32300', f_lp='17263', f_lp_lb='5686', limit_kern_branch='151', limit_kern_start='37801'
